Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Russia,0.0,0.0,0.0,0.0,01-22-2020,0
Russia,0.0,0.0,0.0,0.0,01-23-2020,0
Russia,0.0,0.0,0.0,0.0,01-24-2020,0
Russia,0.0,0.0,0.0,0.0,01-25-2020,0
Russia,0.0,0.0,0.0,0.0,01-26-2020,0
Russia,0.0,0.0,0.0,0.0,01-27-2020,0
Russia,0.0,0.0,0.0,0.0,01-28-2020,0
Russia,0.0,0.0,0.0,0.0,01-29-2020,0
Russia,0.0,0.0,0.0,0.0,01-30-2020,0
Russia,2.0,0.0,0.0,0.0,01-31-2020,2
Russia,2.0,0.0,0.0,0.0,02-01-2020,2
Russia,2.0,0.0,0.0,0.0,02-02-2020,2
Russia,2.0,0.0,0.0,0.0,02-03-2020,2
Russia,2.0,0.0,0.0,0.0,02-04-2020,2
Russia,2.0,0.0,0.0,0.0,02-05-2020,2
Russia,2.0,0.0,0.0,0.0,02-06-2020,2
Russia,2.0,0.0,0.0,0.0,02-07-2020,2
Russia,2.0,0.0,0.0,0.0,02-08-2020,2
Russia,2.0,0.0,0.0,0.0,02-09-2020,2
Russia,2.0,0.0,0.0,0.0,02-10-2020,2
Russia,2.0,0.0,0.0,0.0,02-11-2020,2
Russia,2.0,2.0,0.0,0.0,02-12-2020,2
Russia,2.0,2.0,0.0,0.0,02-13-2020,2
Russia,2.0,2.0,0.0,0.0,02-14-2020,2
Russia,2.0,2.0,0.0,0.0,02-15-2020,2
Russia,2.0,2.0,0.0,0.0,02-16-2020,2
Russia,2.0,2.0,0.0,0.0,02-17-2020,2
Russia,2.0,2.0,0.0,0.0,02-18-2020,2
Russia,2.0,2.0,0.0,0.0,02-19-2020,2
Russia,2.0,2.0,0.0,0.0,02-20-2020,2
Russia,2.0,2.0,0.0,0.0,02-21-2020,2
Russia,2.0,2.0,0.0,0.0,02-22-2020,2
Russia,2.0,2.0,0.0,0.0,02-23-2020,2
Russia,2.0,2.0,0.0,0.0,02-24-2020,2
Russia,2.0,2.0,0.0,0.0,02-25-2020,2
Russia,2.0,2.0,0.0,0.0,02-26-2020,2
Russia,2.0,2.0,0.0,0.0,02-27-2020,2
Russia,2.0,2.0,0.0,0.0,02-28-2020,2
Russia,2.0,2.0,0.0,0.0,02-29-2020,2
Russia,2.0,2.0,0.0,0.0,03-01-2020,2
Russia,3.0,2.0,0.0,0.0,03-02-2020,1
Russia,3.0,2.0,0.0,0.0,03-03-2020,1
Russia,3.0,2.0,0.0,0.0,03-04-2020,1
Russia,4.0,2.0,0.0,0.0,03-05-2020,1
Russia,13.0,2.0,0.0,0.0,03-06-2020,9
Russia,13.0,2.0,0.0,0.0,03-07-2020,9
Russia,17.0,3.0,0.0,0.0,03-08-2020,4
Russia,17.0,3.0,0.0,0.0,03-09-2020,4
Russia,0.0,0.0,0.0,0.0,03-10-2020,17
Russia,20.0,3.0,0.0,0.0,03-11-2020,20
Russia,28.0,3.0,0.0,0.0,03-12-2020,8
Russia,45.0,3.0,0.0,0.0,03-13-2020,17
Russia,59.0,8.0,0.0,0.0,03-14-2020,14
Russia,63.0,8.0,0.0,0.0,03-15-2020,4
Russia,90.0,8.0,0.0,0.0,03-16-2020,27
Russia,114.0,8.0,0.0,0.0,03-17-2020,24
Russia,147.0,8.0,0.0,0.0,03-18-2020,33
Russia,199.0,9.0,1.0,0.0,03-19-2020,52
Russia,253.0,9.0,1.0,0.0,03-20-2020,54
Russia,306.0,12.0,1.0,0.0,03-21-2020,53
Russia,367.0,16.0,1.0,350.0,03-22-2020,61
Russia,438.0,17.0,1.0,420.0,03-23-2020,71
Russia,495.0,22.0,1.0,472.0,03-24-2020,57
Russia,658.0,29.0,3.0,626.0,03-25-2020,163
Russia,840.0,38.0,3.0,799.0,03-26-2020,182
Russia,1036.0,45.0,4.0,987.0,03-27-2020,196
Russia,1264.0,49.0,4.0,1211.0,03-28-2020,228
Russia,1534.0,64.0,8.0,1462.0,03-29-2020,270
Russia,1836.0,66.0,9.0,1761.0,03-30-2020,302
Russia,2337.0,121.0,17.0,2199.0,03-31-2020,501
Russia,2777.0,190.0,24.0,2563.0,04-01-2020,440
Russia,3548.0,235.0,30.0,3283.0,04-02-2020,771
Russia,4149.0,281.0,34.0,3834.0,04-03-2020,601
Russia,4731.0,333.0,43.0,4355.0,04-04-2020,582
Russia,5389.0,355.0,45.0,4989.0,04-05-2020,658
Russia,6343.0,406.0,47.0,5890.0,04-06-2020,954
Russia,7497.0,494.0,58.0,6945.0,04-07-2020,1154
Russia,8672.0,580.0,63.0,8029.0,04-08-2020,1175
Russia,10131.0,698.0,76.0,9357.0,04-09-2020,1459
Russia,11917.0,795.0,94.0,11028.0,04-10-2020,1786
Russia,13584.0,1045.0,106.0,12433.0,04-11-2020,1667
Russia,15770.0,1291.0,130.0,14349.0,04-12-2020,2186
Russia,18328.0,1470.0,148.0,16710.0,04-13-2020,2558
Russia,21102.0,1694.0,170.0,19238.0,04-14-2020,2774
Russia,24490.0,1986.0,198.0,22306.0,04-15-2020,3388
Russia,27938.0,2304.0,232.0,25402.0,04-16-2020,3448
Russia,32008.0,2590.0,273.0,29145.0,04-17-2020,4070
Russia,36793.0,3057.0,313.0,33423.0,04-18-2020,4785
Russia,42853.0,3291.0,361.0,39201.0,04-19-2020,6060
Russia,47121.0,3446.0,405.0,43270.0,04-20-2020,4268
Russia,52763.0,3873.0,456.0,48434.0,04-21-2020,5642
Russia,57999.0,4420.0,513.0,53066.0,04-22-2020,5236
Russia,62773.0,4891.0,555.0,57327.0,04-23-2020,4774
Russia,68622.0,5568.0,615.0,62439.0,04-24-2020,5849
Russia,74588.0,6250.0,681.0,67657.0,04-25-2020,5966
Russia,80949.0,6767.0,747.0,73435.0,04-26-2020,6361
Russia,87147.0,7346.0,794.0,79007.0,04-27-2020,6198
Russia,93558.0,8456.0,867.0,84235.0,04-28-2020,6411
Russia,99399.0,10286.0,972.0,88141.0,04-29-2020,5841
Russia,106498.0,11619.0,1073.0,93806.0,04-30-2020,7099
Russia,114431.0,13220.0,1169.0,100042.0,05-01-2020,7933
Russia,124054.0,15013.0,1222.0,107819.0,05-02-2020,9623
Russia,134687.0,16639.0,1280.0,116768.0,05-03-2020,10633
Russia,145268.0,18095.0,1356.0,125817.0,05-04-2020,10581
Russia,155370.0,19865.0,1451.0,134054.0,05-05-2020,10102
Russia,165929.0,21327.0,1537.0,143065.0,05-06-2020,10559
Russia,177160.0,23803.0,1625.0,151732.0,05-07-2020,11231
Russia,187859.0,26608.0,1723.0,159528.0,05-08-2020,10699
Russia,198676.0,31916.0,1827.0,164933.0,05-09-2020,10817
Russia,209688.0,34306.0,1915.0,173467.0,05-10-2020,11012
Russia,221344.0,39801.0,2009.0,179534.0,05-11-2020,11656
Russia,232243.0,43512.0,2116.0,186615.0,05-12-2020,10899
Russia,242271.0,48003.0,2212.0,192056.0,05-13-2020,10028
Russia,252245.0,53530.0,2305.0,196410.0,05-14-2020,9974
Russia,262843.0,58226.0,2418.0,202199.0,05-15-2020,10598
Russia,272043.0,63166.0,2537.0,206340.0,05-16-2020,9200
Russia,281752.0,67373.0,2631.0,211748.0,05-17-2020,9709
Russia,290678.0,70209.0,2722.0,217747.0,05-18-2020,8926
Russia,299941.0,76130.0,2837.0,220974.0,05-19-2020,9263
Russia,308705.0,85392.0,2972.0,220341.0,05-20-2020,8764
Russia,317554.0,92681.0,3099.0,221774.0,05-21-2020,8849
Russia,326448.0,99825.0,3249.0,223374.0,05-22-2020,8894
Russia,335882.0,107936.0,3388.0,224558.0,05-23-2020,9434
Russia,344481.0,113299.0,3541.0,227641.0,05-24-2020,8599
Russia,353427.0,118798.0,3633.0,230996.0,05-25-2020,8946
Russia,362342.0,131129.0,3807.0,227406.0,05-26-2020,8915
Russia,370680.0,142208.0,3968.0,224504.0,05-27-2020,8338
Russia,379051.0,150993.0,4142.0,223916.0,05-28-2020,8371
Russia,387623.0,159257.0,4374.0,223992.0,05-29-2020,8572
Russia,396575.0,167469.0,4555.0,224551.0,05-30-2020,8952
Russia,405843.0,171883.0,4693.0,229267.0,05-31-2020,9268
Russia,414328.0,175514.0,4849.0,233965.0,06-01-2020,8485
Russia,423186.0,186602.0,5031.0,231553.0,06-02-2020,8858
Russia,431715.0,195559.0,5208.0,230948.0,06-03-2020,8529
Russia,440538.0,204197.0,5376.0,230965.0,06-04-2020,8823
Russia,449256.0,212237.0,5520.0,231499.0,06-05-2020,8718
Russia,458102.0,220935.0,5717.0,231450.0,06-06-2020,8846
Russia,467073.0,226272.0,5851.0,234950.0,06-07-2020,8971
Russia,476043.0,230226.0,5963.0,239854.0,06-08-2020,8970
Russia,484630.0,241917.0,6134.0,236579.0,06-09-2020,8587
Russia,493023.0,252295.0,6350.0,234378.0,06-10-2020,8393
Russia,501800.0,260649.0,6522.0,234629.0,06-11-2020,8777
Russia,510761.0,268862.0,6705.0,235194.0,06-12-2020,8961
Russia,519458.0,274128.0,6819.0,238511.0,06-13-2020,8697
Russia,528267.0,279536.0,6938.0,241793.0,06-14-2020,8809
Russia,536484.0,284021.0,7081.0,245382.0,06-15-2020,8217
Russia,544725.0,293780.0,7274.0,243671.0,06-16-2020,8241
Russia,552549.0,303800.0,7468.0,241281.0,06-17-2020,7824
Russia,560321.0,313409.0,7650.0,239262.0,06-18-2020,7772
Russia,568292.0,323851.0,7831.0,236610.0,06-19-2020,7971
Russia,576162.0,334024.0,7992.0,234146.0,06-20-2020,7870
Russia,583879.0,339142.0,8101.0,236636.0,06-21-2020,7717
Russia,591465.0,343847.0,8196.0,239422.0,06-22-2020,7586
Russia,598878.0,355847.0,8349.0,234682.0,06-23-2020,7413
Russia,606043.0,368222.0,8503.0,229318.0,06-24-2020,7165
Russia,613148.0,374557.0,8594.0,229997.0,06-25-2020,7105
Russia,619936.0,383524.0,8770.0,227642.0,06-26-2020,6788
Russia,626779.0,392703.0,8958.0,225118.0,06-27-2020,6843
Russia,633563.0,398436.0,9060.0,226067.0,06-28-2020,6784
Russia,640246.0,402778.0,9152.0,228316.0,06-29-2020,6683
Russia,646929.0,411973.0,9306.0,225650.0,06-30-2020,6683
Russia,653479.0,422235.0,9521.0,221723.0,07-01-2020,6550
Russia,660231.0,428276.0,9668.0,222287.0,07-02-2020,6752
Russia,666941.0,437155.0,9844.0,219942.0,07-03-2020,6710
Russia,673564.0,446127.0,10011.0,217426.0,07-04-2020,6623
Russia,680283.0,449995.0,10145.0,220143.0,07-05-2020,6719
Russia,686852.0,453570.0,10280.0,223002.0,07-06-2020,6569
Russia,693215.0,463103.0,10478.0,219634.0,07-07-2020,6363
Russia,699749.0,471718.0,10650.0,217381.0,07-08-2020,6534
Russia,706240.0,480494.0,10826.0,214920.0,07-09-2020,6491
Russia,712863.0,488234.0,11000.0,213629.0,07-10-2020,6623
Russia,719449.0,496594.0,11188.0,211667.0,07-11-2020,6586
Russia,726036.0,500208.0,11318.0,214510.0,07-12-2020,6587
Russia,732547.0,503168.0,11422.0,217957.0,07-13-2020,6511
Russia,738787.0,511958.0,11597.0,215232.0,07-14-2020,6240
Russia,745197.0,522375.0,11753.0,211069.0,07-15-2020,6410
Russia,751612.0,530801.0,11920.0,208891.0,07-16-2020,6415
Russia,758001.0,538467.0,12106.0,207428.0,07-17-2020,6389
Russia,764215.0,545909.0,12228.0,206078.0,07-18-2020,6214
Russia,770311.0,549387.0,12323.0,208601.0,07-19-2020,6096
Russia,776212.0,552644.0,12408.0,211160.0,07-20-2020,5901
Russia,782040.0,561397.0,12561.0,208082.0,07-21-2020,5828
Russia,787890.0,571049.0,12726.0,204115.0,07-22-2020,5850
Russia,793720.0,579295.0,12873.0,201552.0,07-23-2020,5830
Russia,799499.0,587728.0,13026.0,198745.0,07-24-2020,5779
Russia,805332.0,596064.0,13172.0,196096.0,07-25-2020,5833
Russia,811073.0,599172.0,13249.0,198652.0,07-26-2020,5741
Russia,816680.0,602249.0,13334.0,201097.0,07-27-2020,5607
Russia,822060.0,611109.0,13483.0,197468.0,07-28-2020,5380
Russia,827509.0,619204.0,13650.0,194655.0,07-29-2020,5449
Russia,832993.0,628482.0,13778.0,190733.0,07-30-2020,5484
Russia,838461.0,637217.0,13939.0,187305.0,07-31-2020,5468
Russia,843890.0,645316.0,14034.0,184540.0,08-01-2020,5429
Russia,849277.0,648961.0,14104.0,186212.0,08-02-2020,5387
Russia,854641.0,652372.0,14183.0,188086.0,08-03-2020,5364
Russia,859762.0,660235.0,14327.0,185200.0,08-04-2020,5121
Russia,864948.0,667769.0,14465.0,182714.0,08-05-2020,5186
Russia,870187.0,675069.0,14579.0,180539.0,08-06-2020,5239
Russia,875378.0,682278.0,14698.0,178402.0,08-07-2020,5191
Russia,880563.0,688856.0,14827.0,176880.0,08-08-2020,5185
Russia,885718.0,692059.0,14903.0,178756.0,08-09-2020,5155
Russia,890799.0,695317.0,14973.0,180509.0,08-10-2020,5081
Russia,895691.0,701796.0,15103.0,178792.0,08-11-2020,4892
Russia,900745.0,708900.0,15231.0,176614.0,08-12-2020,5054
Russia,905762.0,714934.0,15353.0,175475.0,08-13-2020,5017
Russia,910778.0,721473.0,15467.0,173838.0,08-14-2020,5016
Russia,915808.0,727895.0,15585.0,172328.0,08-15-2020,5030
Russia,920719.0,731444.0,15653.0,173622.0,08-16-2020,4911
Russia,925558.0,734573.0,15707.0,175278.0,08-17-2020,4839
Russia,930276.0,741045.0,15836.0,173395.0,08-18-2020,4718
Russia,935066.0,747802.0,15951.0,171313.0,08-19-2020,4790
Russia,939833.0,753868.0,16058.0,169907.0,08-20-2020,4767
Russia,944671.0,759639.0,16148.0,168884.0,08-21-2020,4838
Russia,949531.0,765754.0,16268.0,167509.0,08-22-2020,4860
Russia,954328.0,768906.0,16341.0,169081.0,08-23-2020,4797
Russia,959016.0,771357.0,16406.0,171253.0,08-24-2020,4688
Russia,963655.0,777960.0,16524.0,169171.0,08-25-2020,4639
Russia,968297.0,784277.0,16638.0,167382.0,08-26-2020,4642
Russia,972972.0,790629.0,16758.0,165585.0,08-27-2020,4675
Russia,977730.0,796498.0,16866.0,164366.0,08-28-2020,4758
Russia,982573.0,802365.0,16977.0,163231.0,08-29-2020,4843
Russia,987470.0,804941.0,17045.0,165484.0,08-30-2020,4897
Russia,992402.0,807339.0,17128.0,167935.0,08-31-2020,4932
Russia,997072.0,813603.0,17250.0,166219.0,09-01-2020,4670
Russia,1001965.0,819043.0,17365.0,165557.0,09-02-2020,4893
Russia,1006923.0,824783.0,17479.0,164661.0,09-03-2020,4958
Russia,1011987.0,830532.0,17598.0,163857.0,09-04-2020,5064
Russia,1017131.0,835884.0,17707.0,163540.0,09-05-2020,5144
Russia,1022228.0,838680.0,17768.0,165780.0,09-06-2020,5097
Russia,1027334.0,840997.0,17818.0,168519.0,09-07-2020,5106
Russia,1032354.0,847746.0,17939.0,166669.0,09-08-2020,5020
Russia,1037526.0,854069.0,18080.0,165377.0,09-09-2020,5172
